sample_name,attribute
MEDIUM-BLANK.mzXML,BLANK
P-algeriensis-107089.mzXML,algeriensis
P-corallina-96662.mzXML,corallina
P-sphaerica-91781.mzXML,sphaerica
P-algeriensis-114239.mzXML,algeriensis
P-sphaerica-135062.mzXML,sphaerica
P-max-91428.mzXML,max
P-corallina-135044.mzXML,corallina
P-corallina-97500.mzXML,corallina
P-sphaerica-107188.mzXML,sphaerica
P-sphaerica-91431.mzXML,sphaerica
