row ID,row m/z,row retention time
316,301.068682473036,12.34115
371,302.303468565264,13.480355
337,302.303699552666,12.871295
167,304.079950263404,6.6895165
97,304.174443314532,4.529661
496,305.192744821429,16.03855
215,309.223331004124,9.443494
85,310.12774021662,3.91305
62,310.128352057026,2.8107166
99,311.13351558601,4.7829
594,312.264207196401,18.01885
310,316.281158725676,12.231916
278,318.298386360037,11.531616
291,319.090557469365,11.92935
229,323.201983128213,9.851944
35,325.112436983702,2.2459023
46,326.124755874009,2.4936914
92,328.138545769164,4.2269955
52,328.138750348772,2.6078165
180,330.200137171478,7.7756333
460,330.334106182304,15.116944
429,330.334433489596,14.5814
227,331.205191019758,9.801023
179,340.183097304538,7.487833
351,342.05198729089,13.059483
50,344.135511460804,2.5852835
231,345.184080567187,9.884033
198,346.149235676038,8.678766
69,348.069713846526,3.4175444
41,348.069774379052,2.3356166
38,354.109853240325,2.2819333
228,356.166272973879,9.841617
242,356.166386385671,10.253866
90,357.206881492757,4.172317
509,358.365940767587,16.324966
173,360.19022471708,7.117733
161,364.1619957387,6.5130167
36,365.10502355175,2.2499154
110,367.150218160181,5.3170414
259,367.265210695301,10.806567
95,376.159759768401,4.3215775
63,376.160216909063,2.8146002
230,376.183562724876,9.873783
169,377.144667346769,6.9173164
32,381.079115900107,2.2163212
123,387.679952596418,5.6346664
251,389.246781411872,10.595656
112,391.200764846708,5.379283
100,391.202089014533,4.8910947
103,393.217830085145,5.173528
64,393.21972236628,2.8207831
96,393.219809354588,4.4195385
174,394.193985882434,7.13935
184,396.15816453739,7.91475
171,397.205718938852,6.9984503
196,398.146763590066,8.637183
257,398.338081077209,10.782717
150,403.178877097453,6.287973
271,403.226148625373,11.213056
255,405.218889693049,10.736134
390,405.748204401962,13.799292
126,407.232543958602,5.760696
74,409.18039049576,3.5777917
128,411.810092756687,5.84095
58,412.180761439161,2.7473
107,412.181581910411,5.2714
298,412.282014939312,12.00925
424,414.298123792987,14.477056
493,415.209509906588,16.009632
422,417.277353222347,14.394317
135,423.195937729021,6.004467
157,425.192335639201,6.4232774
124,427.205504097824,5.67975
308,430.292970845681,12.1522
354,432.173062868027,13.128384
495,432.235699089959,16.033924
426,432.308687004706,14.510949
498,437.191042035045,16.052153
642,438.286002228523,18.972107
244,439.059444040981,10.367939
288,439.286323296243,11.846926
285,442.332539717087,11.724906
353,445.061522925394,13.119583
312,445.273008608339,12.262183
646,445.275628193294,19.023016
297,447.288698120441,11.992145
279,448.291610753596,11.576172
299,448.303233051871,12.011162
423,450.319106109142,14.469533
281,452.334485112698,11.632383
547,454.290747034271,17.064566
137,455.212776274049,6.02795
105,457.21607453955,5.202409
313,461.267758658506,12.295067
378,462.264831692155,13.659891
284,463.261382229373,11.700784
489,466.29067372921,15.9484
525,466.290923182586,16.791317
295,466.314361032559,11.975395
560,468.305868364605,17.577032
606,468.306523340811,18.476368
686,474.297235362576,19.924774
485,475.319487944647,15.924601
290,477.242150395105,11.898434
205,477.242801317192,9.060949
512,478.290358525043,16.482916
395,480.275470894118,13.843208
544,480.306171780126,17.022196
572,480.306804020338,17.85684
632,482.32158773415,18.84461
660,482.321795381043,19.382507
336,483.34859215912,12.853367
465,484.299610409273,15.390301
672,485.29030324465,19.761168
29,490.175592190045,2.1367
115,490.26807246386,5.427244
331,492.07226135089,12.706234
524,492.306292148369,16.781942
258,493.119097396582,10.804825
185,493.255720522408,8.116
601,494.321924332871,18.40465
669,496.336070529335,19.66678
559,496.336389508884,17.562962
335,497.327789584875,12.851284
376,498.286218263877,13.620292
513,498.315211155735,16.573917
323,500.374537598847,12.498233
367,503.314907963674,13.3567
352,505.330644085304,13.060378
168,506.203056643131,6.7309914
324,506.333101832247,12.548955
527,508.33516429417,16.799217
663,508.336080134541,19.532017
344,511.334449930272,12.970651
102,513.229224816786,5.141733
364,514.353915642732,13.259522
405,516.296453015166,13.964434
673,518.320325955048,19.761168
362,519.310084218105,13.23955
350,520.312873818438,13.024556
511,520.336502691723,16.477037
340,521.308884611995,12.914949
131,522.198269876291,5.934695
113,522.199974454678,5.3921
165,522.246800091571,6.6303725
596,522.352753430015,18.056824
691,524.368445091807,19.948675
34,525.166657155862,2.2369
33,527.157767783785,2.2242332
345,535.283088485182,12.993167
494,536.283067650132,16.027374
91,538.213391087816,4.22375
121,540.252251179539,5.6331835
363,541.354574809263,13.24115
404,541.39030898828,13.932845
111,542.255857571344,5.344283
202,551.296605979869,8.771033
189,554.311453787223,8.225175
108,554.750094628666,5.294767
380,555.370806144334,13.695267
379,558.416354428407,13.665944
399,563.372247946035,13.883889
383,564.374985009455,13.729672
406,569.378164339486,13.979616
401,572.395986398221,13.923542
274,573.408223369723,11.406717
210,576.345981849006,9.2842
377,577.350821790436,13.6403675
412,578.354558872576,14.0906725
389,579.351803041629,13.7667675
209,592.320540652209,9.250411
392,593.325015061732,13.799316
223,596.316377042783,9.715722
208,596.316749648208,9.211241
413,599.337208429392,14.1017
454,599.431914051667,15.055722
175,601.33476227066,7.2013836
138,602.727963399919,6.0425997
240,608.313952208339,10.240611
176,610.298570828383,7.3075166
182,610.298810406796,7.833033
221,610.333222985033,9.688746
247,610.33484539711,10.482267
431,613.412636589918,14.598483
435,616.456787195207,14.743455
444,621.414338259502,14.908788
438,622.416346555652,14.814845
510,625.003077201062,16.399218
558,625.003217399826,17.53195
453,625.006471669629,15.030717
213,626.324878141646,9.527383
246,626.327691540763,10.413434
443,627.421868991484,14.89905
442,630.437872930441,14.894183
462,635.395154381741,15.241016
449,636.39689169239,14.957845
149,639.326316039437,6.2086277
222,640.341449315784,9.695476
250,640.341622214342,10.538975
451,651.368168968791,15.0121
238,654.35762864989,10.181534
262,654.357869943045,10.8511
447,657.37930373572,14.947742
155,663.313742538897,6.412683
159,663.568756324265,6.435217
235,667.378679117784,10.133234
136,667.837405752184,6.016267
143,669.337803986118,6.081725
170,670.271070879507,6.9549665
507,671.453121557297,16.186535
469,674.497056631729,15.71225
393,676.442659112551,13.799316
481,679.455543728284,15.868256
30,685.238535478519,2.19245
486,685.461920207479,15.925867
145,688.344970748929,6.102117
501,688.479011508899,16.101849
508,693.436212337615,16.233883
475,694.437903550799,15.770473
458,701.465904862845,15.085667
147,704.330209229186,6.1516333
31,707.222291403148,2.1983583
483,709.409498935023,15.90335
478,715.419206920031,15.828334
536,715.51505691585,16.931816
671,716.518287511589,19.747974
446,720.511782797044,14.944134
610,722.526375047343,18.537117
526,729.494824354217,16.796024
500,732.502082098571,16.083633
551,732.538596760886,17.177223
608,732.550983138817,18.512266
430,734.488001004467,14.582916
635,734.548960135581,18.899683
562,734.555823791209,17.622307
