id,height,area,mz,rt,fermo:active,fermo:samples,fermo:samples:count,fermo:isblank,fermo:annotation:adducts,fermo:annotation:neutral_losses,fermo:annotation:fragments
132,11000,2000,454.2903,17.11,true,D3_H3_mod.mzXML|5458_5457_mod.mzXML,2,,,,
133,7300,940,433.0049,1.83,true,D3_H3_mod.mzXML,1,,,,
134,5300,490,448.9785,1.88,true,D3_H3_mod.mzXML,1,,,,
135,7200,1300,203.0527,2.08,true,D3_H3_mod.mzXML,1,,,,
136,5900,810,276.1481,2.39,true,D3_H3_mod.mzXML,1,,,,
137,7300,1100,268.1025,3.34,true,D3_H3_mod.mzXML,1,,,,
138,6200,1300,310.1277,3.7,true,D3_H3_mod.mzXML,1,,,,
139,6100,780,188.0711,5.53,true,D3_H3_mod.mzXML,1,,,,
140,26000,4300,417.114,7.49,true,D3_H3_mod.mzXML,1,,,,
141,12000,1900,255.0614,7.5,true,D3_H3_mod.mzXML,1,,,,
142,9000,1600,271.0563,8.59,true,D3_H3_mod.mzXML,1,,,,
143,23000,3900,433.1091,8.59,true,D3_H3_mod.mzXML,1,,,,
144,7400,920,459.1239,9.1,true,D3_H3_mod.mzXML,1,,,,
145,8500,1200,475.1176,10.19,true,D3_H3_mod.mzXML,1,,,,
146,56000,9300,274.2712,11.32,true,D3_H3_mod.mzXML,1,,,,
147,5300,620,318.2964,11.39,true,D3_H3_mod.mzXML,1,,,,
148,16000,3400,302.3026,12.67,true,D3_H3_mod.mzXML,1,,,,
149,13000,4100,330.3346,14.17,true,D3_H3_mod.mzXML,1,,,,
150,21000,4100,518.3225,15.34,true,D3_H3_mod.mzXML,1,,,,
151,6400,1700,640.3435,15.61,true,D3_H3_mod.mzXML,1,,,,
152,14000,3900,536.2837,15.92,true,D3_H3_mod.mzXML,1,,,,
153,30000,5200,520.3384,16.17,true,D3_H3_mod.mzXML,1,,,,
154,23000,3900,478.291,16.37,true,D3_H3_mod.mzXML,1,,,,
155,89000,30000,520.3393,16.51,true,D3_H3_mod.mzXML,1,,[M+2H]2+(partner_ID=156;adduct=[2M+H]+;m/z=1039.6675),,
156,17000,2600,1039.6675,16.53,true,D3_H3_mod.mzXML,1,,[2M+H]+(partner_ID=155;adduct=[M+2H]2+;m/z=520.3393),,
157,7200,1500,496.3377,16.98,true,D3_H3_mod.mzXML,1,,,,
158,54000,14000,496.3387,17.42,true,D3_H3_mod.mzXML,1,,,,
159,24000,6800,522.3537,18.14,true,D3_H3_mod.mzXML,1,,,,
